ID,EDAD,SEXO,CODIGO_DEPARTAMENTO,REGION,TIPO_PESCADOR,COBRO,MONTO,FECHA_CORTE,FECHA_PUBLICACION_PNDA
26129,27,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26934,22,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26927,35,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26406,24,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26494,47,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
36139,45,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
16225,54,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27261,35,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27136,30,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27137,35,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26061,25,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25736,32,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27169,48,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26479,57,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26506,42,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26464,49,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26572,64,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26095,51,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25726,47,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25899,41,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25683,35,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27206,29,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
27087,49,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27138,29,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26478,23,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25864,29,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26880,66,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26849,46,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26395,40,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26790,25,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26310,25,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25781,30,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25772,52,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26791,25,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26131,47,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26481,41,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26391,25,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25863,26,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26229,34,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26931,24,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25755,48,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26911,61,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27011,32,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25758,47,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25867,44,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26375,20,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26118,36,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25717,65,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26155,63,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26964,47,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26002,39,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
26836,26,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26333,31,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25743,45,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25954,47,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25756,33,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26684,54,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27135,30,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26153,53,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26334,40,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26480,36,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26861,44,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27033,28,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26454,38,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26686,36,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26320,22,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27038,29,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26474,36,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26888,43,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27074,47,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25814,53,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25823,39,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26886,28,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26653,25,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27200,30,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26024,47,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27207,29,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26651,26,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26788,21,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26507,39,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25802,62,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26219,31,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26427,31,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26962,57,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26882,60,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27205,25,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26720,38,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26321,37,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26495,30,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26537,62,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26617,27,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26698,30,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26687,29,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26981,36,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26326,59,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25974,38,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27238,43,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26425,48,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26389,47,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27053,51,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26322,32,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
26387,27,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26761,35,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25945,62,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26216,27,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26217,34,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25905,42,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25877,35,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26451,33,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27019,26,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25995,44,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26274,37,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26371,25,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26148,62,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26390,38,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27220,24,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
27247,34,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
27047,26,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25777,46,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
16589,45,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26548,24,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27003,49,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26757,21,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26928,22,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25946,25,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
26023,29,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26215,39,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26150,43,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25857,34,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26879,57,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27081,61,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27075,43,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27152,66,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27120,42,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
36149,38,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26525,45,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26547,48,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26842,32,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26292,39,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26205,23,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26017,26,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25944,31,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
25930,45,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25948,58,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
25858,21,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27184,20,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
25687,31,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25677,33,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26841,29,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27067,57,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
36159,25,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26305,30,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26197,57,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25676,36,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25931,66,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27305,48,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26840,24,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
26937,44,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26372,26,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26417,64,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27198,36,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26016,41,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27209,31,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27278,34,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
36169,56,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27161,28,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26075,36,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
16368,43,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26294,41,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26361,40,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25715,37,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25844,39,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
27271,31,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27002,32,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26817,42,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26804,43,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26808,42,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27227,35,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
27203,23,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
27089,27,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27029,48,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26920,48,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26201,39,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25860,28,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
27197,31,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26436,44,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26647,61,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27083,32,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25928,29,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25757,49,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25675,43,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25932,25,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26293,41,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26018,37,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
36179,27,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
